LotArea,Neighborhood,BldgType,HouseStyle,OverallQual,Foundation,TotalBsmtSF,CentralAir,Electrical,GrLivArea,BedroomAbvGr,YrSold,SaleType,SaleCondition,SalePrice
14450,NridgHt,Single Family,1Story,9,Poured Concrete ,2121,Yes,SBrkr,2121,3,2007,New,Partial,415298
14442,Crawfor,Single Family,1Story,6,Poured Concrete ,1477,Yes,SBrkr,1839,3,2007,Warranty Deed,Normal,257500
14375,Timber,Single Family,SFlat,6,Cinder Block,819,Yes,FuseA,1344,3,2009,Contract,Force Closure,137500
14364,SawyerW,Single Family,2Story,7,Cinder Block,1157,Yes,SBrkr,2062,3,2007,Warranty Deed,Normal,277000
14331,Timber,Single Family,1Story,8,Poured Concrete ,1800,Yes,SBrkr,1800,3,2006,Warranty Deed,Normal,312500
14303,NoRidge,Single Family,1Story,8,Poured Concrete ,1986,Yes,SBrkr,1987,2,2008,Warranty Deed,Normal,301500
14260,NoRidge,Single Family,2Story,8,Poured Concrete ,1145,Yes,SBrkr,2198,4,2008,Warranty Deed,Normal,250000
14230,NridgHt,Single Family,1Story,8,Poured Concrete ,1566,Yes,SBrkr,1600,3,2009,Warranty Deed,Normal,256300
14226,NridgHt,Single Family,1Story,8,Poured Concrete ,1935,Yes,SBrkr,1973,3,2007,New,Partial,395000
14215,NridgHt,Single Family,2Story,8,Poured Concrete ,1158,Yes,SBrkr,2376,4,2006,New,Partial,325300
14200,NAmes,Single Family,2Story,7,Cinder Block,924,Yes,SBrkr,2157,4,2006,Warranty Deed,Normal,226000
14191,Timber,Single Family,2Story,8,Poured Concrete ,967,Yes,SBrkr,1908,4,2010,Warranty Deed,Normal,202900
14175,Sawyer,Single Family,1Story,5,Cinder Block,1188,Yes,SBrkr,1437,3,2006,Warranty Deed,Normal,168000
14157,Stony Brook,Single Family,1Story,9,Poured Concrete ,1922,Yes,SBrkr,1922,3,2007,Warranty Deed,Normal,377426
14154,NridgHt,Single Family,2Story,7,Poured Concrete ,1063,Yes,SBrkr,2172,3,2007,New,Partial,280000
14145,NWAmes,Single Family,1Story,7,Cinder Block,1208,Yes,SBrkr,1621,3,2006,Warranty Deed,Normal,202500
14115,Mitchel,Single Family,1.5Fin,5,Wood,796,Yes,SBrkr,1362,1,2009,Warranty Deed,Normal,143000
14115,NWAmes,Single Family,SFlat,7,Cinder Block,1372,Yes,SBrkr,1472,3,2009,Warranty Deed,Normal,187500
14115,Crawfor,Single Family,1Story,6,Poured Concrete ,1073,Yes,SBrkr,1811,2,2006,Warranty Deed,Force Closure,230000
14112,NAmes,Single Family,SFlat,5,Poured Concrete ,1152,Yes,SBrkr,1152,3,2010,Warranty Deed,Normal,180500
14100,Crawfor,Single Family,1.5Fin,8,Cinder Block,728,Yes,SBrkr,3447,4,2008,Warranty Deed,Normal,381000
14054,Gilbert,Single Family,2Story,7,Poured Concrete ,879,Yes,SBrkr,1863,4,2006,New,Partial,219210
14006,CollgCr,Single Family,2Story,7,Poured Concrete ,936,Yes,SBrkr,1776,3,2006,Warranty Deed,Normal,192500
14000,Crawfor,Single Family,1Story,6,Cinder Block,1092,Yes,SBrkr,1152,3,2009,Warranty Deed,Within Family,158500
14000,Clear Creek,Single Family,2Story,7,Poured Concrete ,1306,Yes,SBrkr,2260,3,2010,Warranty Deed,Normal,328000
13907,Edwards,Single Family,1Story,5,Cinder Block,996,Yes,SBrkr,996,3,2008,Warranty Deed,Normal,108000
13891,NridgHt,Single Family,1Story,8,Poured Concrete ,1710,Yes,SBrkr,1710,2,2008,New,Partial,372402
13891,NridgHt,Single Family,2Story,9,Poured Concrete ,1734,Yes,SBrkr,2822,4,2009,New,Partial,582933
13891,NridgHt,Single Family,1Story,10,Poured Concrete ,2076,Yes,SBrkr,2076,2,2006,New,Partial,465000
13869,Gilbert,Single Family,2Story,6,Poured Concrete ,794,Yes,SBrkr,1470,3,2007,Warranty Deed,Normal,177000
13860,NAmes,Single Family,SFlat,8,Cinder Block,1952,Yes,SBrkr,2704,4,2009,Warranty Deed,Normal,345000
13837,NWAmes,Single Family,1.5Fin,7,Poured Concrete ,1204,Yes,SBrkr,2183,4,2006,Warranty Deed,Normal,229000
13825,Sawyer,Single Family,SFlat,5,Cinder Block,533,Yes,SBrkr,1601,3,2008,Warranty Deed,Normal,140000
13811,Timber,Single Family,1Story,6,Cinder Block,1112,Yes,SBrkr,1137,2,2006,Warranty Deed,Normal,176000
13758,Timber,Single Family,1.5Fin,7,Cinder Block,1156,Yes,SBrkr,1717,3,2007,Warranty Deed,Normal,187500
13728,Edwards,Single Family,2Story,6,Cinder Block,1127,Yes,SBrkr,2108,4,2008,Warranty Deed,Normal,235000
13710,IDOTRR,Single Family,1.5Fin,5,Cinder Block,910,Yes,FuseA,1558,4,2007,Warranty Deed,Normal,152000
13704,CollgCr,Single Family,1Story,7,Poured Concrete ,1541,Yes,SBrkr,1541,3,2006,Warranty Deed,Normal,205000
13700,NAmes,Single Family,2Story,7,Cinder Block,864,Yes,SBrkr,1820,4,2008,Warranty Deed,Normal,201800
13695,SawyerW,Single Family,1Story,5,Poured Concrete ,1114,Yes,SBrkr,1114,3,2008,Warranty Deed,Normal,159000
13695,SawyerW,Single Family,1Story,6,Poured Concrete ,1114,Yes,SBrkr,1114,3,2008,Warranty Deed,Normal,155000
13693,NridgHt,Single Family,2Story,9,Poured Concrete ,2153,Yes,SBrkr,2643,3,2007,Warranty Deed,Normal,380000
13688,NridgHt,Single Family,2Story,9,Poured Concrete ,1572,Yes,SBrkr,2668,3,2008,Warranty Deed,Normal,412500
13682,Stony Brook,Single Family,2Story,10,Poured Concrete ,1410,Yes,SBrkr,2945,3,2006,New,Partial,438780
13680,Edwards,Single Family,1Story,3,Slab,0,Yes,FuseA,1733,4,2009,Warranty Deed,Normal,139600
13673,Sawyer,Single Family,1Story,5,Cinder Block,1140,Yes,SBrkr,1696,3,2007,Warranty Deed,Normal,143900
13651,NAmes,Single Family,1Story,7,Cinder Block,2223,Yes,SBrkr,2223,3,2007,Warranty Deed,Normal,244000
13650,Sawyer,Single Family,1.5Fin,5,Cinder Block,1052,Yes,SBrkr,1920,4,2006,Warranty Deed,Normal,172500
13600,NAmes,Single Family,2Story,7,Cinder Block,768,Yes,SBrkr,1986,3,2009,Warranty Deed,Normal,205000
13600,OldTown,Two Family,2Story,5,Brick and Tile,662,No,SBrkr,2337,5,2007,Warranty Deed,Normal,90000
13568,CollgCr,Single Family,1Story,5,Poured Concrete ,990,Yes,SBrkr,990,3,2006,Warranty Deed,Normal,156000
13560,NAmes,Single Family,1Story,6,Cinder Block,1392,Yes,SBrkr,1392,2,2009,Warranty Deed,Normal,110000
13526,Sawyer,Single Family,1Story,5,Cinder Block,935,Yes,SBrkr,935,3,2006,Warranty Deed,Normal,137000
13518,NridgHt,Single Family,2Story,9,Poured Concrete ,1926,Yes,SBrkr,3140,4,2009,New,Partial,485000
13517,Sawyer,Single Family,2Story,6,Cinder Block,725,Yes,SBrkr,1479,3,2010,Warranty Deed,Normal,130500
13515,Brookside,Single Family,2Story,6,Poured Concrete ,764,Yes,FuseA,1824,3,2007,Warranty Deed,Normal,180500
13501,Somerst,Single Family,1Story,8,Poured Concrete ,1623,Yes,SBrkr,1636,3,2007,Warranty Deed,Normal,255000
13500,Clear Creek,Single Family,1Story,6,Cinder Block,1602,Yes,SBrkr,1252,1,2008,Warranty Deed,Normal,235000
13500,OldTown,Single Family,2.5Unf,10,Brick and Tile,1237,Yes,SBrkr,2775,3,2008,Warranty Deed,Normal,325000
13474,SawyerW,Single Family,2Story,7,Cinder Block,700,Yes,SBrkr,2243,4,2007,Warranty Deed,Normal,225000
13472,NridgHt,Single Family,1Story,10,Poured Concrete ,2392,Yes,SBrkr,2392,3,2009,Warranty Deed,Normal,386250
13450,CollgCr,Single Family,2Story,7,Poured Concrete ,916,Yes,SBrkr,1861,3,2006,Warranty Deed,Normal,200000
13418,NridgHt,Single Family,2Story,8,Poured Concrete ,1117,Yes,SBrkr,2452,4,2006,Warranty Deed,Normal,309000
13400,NAmes,Single Family,SFlat,5,Cinder Block,1024,Yes,SBrkr,1086,3,2006,Warranty Deed,Normal,159950
13360,Crawfor,Single Family,1Story,5,Brick and Tile,876,Yes,SBrkr,964,2,2009,Warranty Deed,Normal,163500
13350,Sawyer,Single Family,1Story,5,Cinder Block,864,Yes,SBrkr,894,3,2006,Warranty Deed,Normal,142500
13346,NoRidge,Single Family,2Story,7,Poured Concrete ,1095,Yes,SBrkr,2295,4,2006,Warranty Deed,Normal,268000
13300,NAmes,Single Family,1Story,5,Cinder Block,928,Yes,SBrkr,928,2,2007,Warranty Deed,Normal,132000
13286,Edwards,Single Family,1Story,9,Poured Concrete ,1698,Yes,SBrkr,1698,3,2009,Warranty Deed,Normal,320000
13284,Sawyer,Single Family,1Story,5,Poured Concrete ,1383,Yes,SBrkr,1383,3,2008,Warranty Deed,Normal,165000
13265,Mitchel,Single Family,1Story,8,Poured Concrete ,1568,Yes,SBrkr,1689,3,2008,Warranty Deed,Normal,271000
13214,Timber,Single Family,1Story,9,Poured Concrete ,2002,Yes,SBrkr,2018,3,2010,Warranty Deed,Normal,378500
13175,NWAmes,Single Family,1Story,6,Cinder Block,1542,Yes,SBrkr,2073,3,2010,Warranty Deed,Normal,210000
13173,NridgHt,Single Family,1Story,9,Poured Concrete ,1652,Yes,SBrkr,1652,2,2009,Warranty Deed,Normal,325000
13159,Timber,Single Family,2Story,7,Poured Concrete ,846,Yes,SBrkr,1692,3,2009,New,Partial,224500
13132,Crawfor,Single Family,2Story,5,Brick and Tile,747,Yes,FuseF,1784,4,2006,Warranty Deed,Normal,138887
13125,CollgCr,Single Family,1Story,6,Poured Concrete ,1478,Yes,SBrkr,1493,3,2008,Warranty Deed,Normal,208900
13125,SawyerW,Single Family,2Story,7,Poured Concrete ,1104,Yes,SBrkr,2127,4,2007,Warranty Deed,Normal,238000
13125,Sawyer,Single Family,1Story,5,Cinder Block,1134,Yes,SBrkr,1803,3,2006,Warranty Deed,Normal,155000
